12925707	200	application/pdf	145681	145681	tmp/scottsdale-probe/downloads/viewer/12925707_Certificate_of_Occupancy
12925745	200	application/pdf	35581	35581	tmp/scottsdale-probe/downloads/viewer/12925745_Permit_232471.pdf
13078921	200	application/pdf	34037	34037	tmp/scottsdale-probe/downloads/viewer/13078921_Permit_242418.pdf
13079137	200	application/pdf	34934	34934	tmp/scottsdale-probe/downloads/viewer/13079137_Permit_245095.pdf
13079138	200	application/pdf	34848	34848	tmp/scottsdale-probe/downloads/viewer/13079138_Permit_245097.pdf
13268443	200	application/pdf	18895	18895	tmp/scottsdale-probe/downloads/viewer/13268443_Permit_261251.pdf
18736032	200	application/pdf	10510883	10510883	tmp/scottsdale-probe/downloads/viewer/18736032_19-ZN-2004_2_Affidavit_of_Posting.pdf
18736033	200	application/pdf	257507	257507	tmp/scottsdale-probe/downloads/viewer/18736033_19-ZN-2004_2_2-Amended_Development_Standards_-_19-ZN-2004.2.pdf
18736034	200	application/pdf	158599	158599	tmp/scottsdale-probe/downloads/viewer/18736034_19-ZN-2004_2_2-Amended_Development_Standards_REVISED.pdf
18736035	200	application/pdf	4666426	4666426	tmp/scottsdale-probe/downloads/viewer/18736035_19-ZN-2004_2_2-Citizen_Participation_Plan_-_Perimeter_-_2nd_Subm.pdf
18736037	200	application/pdf	1302701	1302701	tmp/scottsdale-probe/downloads/viewer/18736037_19-ZN-2004_2_2-Finish_Line_-_Development_Plan_Amendment_Narrative_-_2nd_Subm.pdf
